"id","code","name","axis_number","tires_number","start_date"
"waybill_configuracion_transporte_federal_00","C2","Camion Unitario (2 llantas en el eje delantero y 4 llantas en el eje trasero)",2,6,"2021-06-01"
"waybill_configuracion_transporte_federal_01","C3","Camion Unitario (2 llantas en el eje delantero y 6 o 8 llantas en los dos ejes traseros)",3,"8 o 10","2021-06-01"
"waybill_configuracion_transporte_federal_02","C2R2","Camion-Remolque (6 llantas en el camion y 8 llantas en remolque)",4,14,"2021-06-01"
"waybill_configuracion_transporte_federal_03","C3R2","Camion-Remolque (10 llantas en el camion y 8 llantas en remolque)",5,18,"2021-06-01"
"waybill_configuracion_transporte_federal_04","C2R3","Camion-Remolque (6 llantas en el camion y 12 llantas en remolque)",5,18,"2021-06-01"
"waybill_configuracion_transporte_federal_05","C3R3","Camion-Remolque (10 llantas en el camion y 12 llantas en remolque)",6,22,"2021-06-01"
"waybill_configuracion_transporte_federal_06","T2S1","Tractocamion Articulado (6 llantas en el tractocamion, 4 llantas en el semirremolque)",3,10,"2021-06-01"
"waybill_configuracion_transporte_federal_07","T2S2","Tractocamion Articulado (6 llantas en el tractocamion, 8 llantas en el semirremolque)",4,14,"2021-06-01"
"waybill_configuracion_transporte_federal_08","T2S3","Tractocamion Articulado (6 llantas en el tractocamion, 12 llantas en el semirremolque)",5,18,"2021-06-01"
"waybill_configuracion_transporte_federal_09","T3S1","Tractocamion Articulado (10 llantas en el tractocamion, 4 llantas en el semirremolque)",4,14,"2021-06-01"
"waybill_configuracion_transporte_federal_10","T3S2","Tractocamion Articulado (10 llantas en el tractocamion, 8 llantas en el semirremolque)",5,18,"2021-06-01"
"waybill_configuracion_transporte_federal_11","T3S3","Tractocamion Articulado (10 llantas en el tractocamion, 12 llantas en el semirremolque)",6,22,"2021-06-01"
"waybill_configuracion_transporte_federal_12","T2S1R2","Tractocamion Semirremolque-Remolque (6 llantas en el tractocamion, 4 llantas en el semirremolque y 8 llantas en el remolque)",5,18,"2021-06-01"
"waybill_configuracion_transporte_federal_13","T2S2R2","Tractocamion Semirremolque-Remolque (6 llantas en el tractocamion, 8 llantas en el semirremolque y 8 llantas en el remolque)",6,22,"2021-06-01"
"waybill_configuracion_transporte_federal_14","T2S1R3","Tractocamion Semirremolque-Remolque (6 llantas en el tractocamion, 4 llantas en el semirremolque y 12 llantas en el remolque)",6,22,"2021-06-01"
"waybill_configuracion_transporte_federal_15","T3S1R2","Tractocamion Semirremolque-Remolque (10 llantas en el tractocamion, 4 llantas en el semirremolque y 8 llantas en el remolque)",6,22,"2021-06-01"
"waybill_configuracion_transporte_federal_16","T3S1R3","Tractocamion Semirremolque-Remolque (10 llantas en el tractocamion, 4 llantas en el semirremolque y 12 llantas en el remolque)",7,26,"2021-06-01"
"waybill_configuracion_transporte_federal_17","T3S2R2","Tractocamion Semirremolque-Remolque (10 llantas en el tractocamion, 8 llantas en el semirremolque y 8 llantas en el remolque)",7,26,"2021-06-01"
"waybill_configuracion_transporte_federal_18","T3S2R3","Tractocamion Semirremolque-Remolque (10 llantas en el tractocamion, 8 llantas en el semirremolque y 12 llantas en el remolque)",8,30,"2021-06-01"
"waybill_configuracion_transporte_federal_19","T3S2R4","Tractocamion Semirremolque-Remolque (10 llantas en el tractocamion, 8 llantas en el semirremolque y 16 llantas en el remolque)",9,34,"2021-06-01"
"waybill_configuracion_transporte_federal_20","T2S2S2","Tractocamion Semirremolque-Semirremolque (6 llantas en el tractocamion, 8 llantas en el semirremolque delantero y 8 llantas en el semirremolque trasero)",6,22,"2021-06-01"
"waybill_configuracion_transporte_federal_21","T3S2S2","Tractocamion Semirremolque-Semirremolque (10 llantas en el tractocamion, 8 llantas en el semirremolque delantero y 8 llantas en el semirremolque trasero)",7,26,"2021-06-01"
"waybill_configuracion_transporte_federal_22","T3S3S2","Tractocamion Semirremolque-Semirremolque (10 llantas en el tractocamion, 12 llantas en el semirremolque delantero y 8 llantas en el semirremolque trasero)",8,30,"2021-06-01"
"waybill_configuracion_transporte_federal_23","OTROEV","Especializado de Voluminoso",,,"2021-06-01"
"waybill_configuracion_transporte_federal_24","OTROEGP","Especializado de Gran Peso",,,"2021-06-01"
"waybill_configuracion_transporte_federal_25","OTROSG","Servicio de Gruas",,,"2021-06-01"
"waybill_configuracion_transporte_federal_26","VL","Vehículo ligero de carga (2 llantas en el eje delantero y 2 llantas en el eje trasero)",2,4,"2021-06-01"
